ชื่อสินค้า,รหัสโรงงาน,คลังสินค้า,< 1 วัน,< 1 วัน,< 1 วัน, 1 - 2 วัน, 1 - 2 วัน, 1 - 2 วัน, 3 - 3 วัน, 3 - 3 วัน, 3 - 3 วัน, 4 - 4 วัน, 4 - 4 วัน, 4 - 4 วัน,> 4 วัน,> 4 วัน,> 4 วัน,รหัสสินค้า,รหัส SAP,รหัสโรงงาน,รหัสคลัง
ชื่อสินค้า,รหัสโรงงาน,คลังสินค้า,< 1 วัน,ปริมาณ,น้ำหนัก, 1 - 2 วัน,ปริมาณ,น้ำหนัก, 3 - 3 วัน,ปริมาณ,น้ำหนัก, 4 - 4 วัน,ปริมาณ,น้ำหนัก,> 4 วัน,ปริมาณ,น้ำหนัก,รหัสสินค้า,รหัส SAP,รหัสโรงงาน,รหัสคลัง
,,539510-CPFTHชำแหละสุกรเชียงใหม่(จิตรุ่งเรือง),,125,"17,431.90",,0,0,,0,0,,0,0,,0,0,,,,
2242440000-สุกรขุน End Product,539510-CPFTHชำแหละสุกรเชียงใหม่(จิตรุ่งเรือง),ลานพักหมูเป็น-บริษัท,,125,"17,431.90",,0,0,,0,0,,0,0,,0,0,2242440000,2242440000,539510,300
,,589110-โรงชำแหละสุกรหนองคาย,,151,"23,159.65",,0,0,,0,0,,0,0,,0,0,,,,
2242440000-สุกรขุน End Product,589110-โรงชำแหละสุกรหนองคาย,ลานพักหมูเป็น-หมูขุน,,151,"23,159.65",,0,0,,0,0,,0,0,,0,0,2242440000,2242440000,589110,300
,,643510-โรงชำแหละสุกรแพร่,,100,"12,596.00",,0,0,,0,0,,0,0,,0,0,,,,
2242440000-สุกรขุน End Product,643510-โรงชำแหละสุกรแพร่,ลานพักหมูเป็น-บริษัท,,100,"12,596.00",,0,0,,0,0,,0,0,,0,0,2242440000,2242440000,643510,300
,,722010-โรงชำแหละสุกรพาน-เชียงราย,,55,"7,411.25",,0,0,,0,0,,0,0,,0,0,,,,
2242440000-สุกรขุน End Product,722010-โรงชำแหละสุกรพาน-เชียงราย,ลานพักหมูเป็น-บริษัท (0300),,55,"7,411.25",,0,0,,0,0,,0,0,,0,0,2242440000,2242440000,722010,300
,,723010-โรงชำแหละสุกรศรีนคร-สุโขทัย,,18,"1,812.60",,0,0,,0,0,,0,0,,0,0,,,,
2242440000-สุกรขุน End Product,723010-โรงชำแหละสุกรศรีนคร-สุโขทัย,ลานพักหมูเป็น-บริษัท,,18,"1,812.60",,0,0,,0,0,,0,0,,0,0,2242440000,2242440000,723010,300
,,734010-โรงชำแหละสุกรและแปรรูปมะกอกเหนือ,,105,"12,020.00",,0,0,,0,0,,0,0,,0,0,,,,
2242440000-สุกรขุน End Product,734010-โรงชำแหละสุกรและแปรรูปมะกอกเหนือ,ลานพักหมูเป็น-บริษัท,,105,"12,020.00",,0,0,,0,0,,0,0,,0,0,2242440000,2242440000,734010,300
,,รหัสสินค้า:2242440012-สุกรขุน Endproduct (Omega),,127,"13,682.00",,0,0,,0,0,,0,0,,0,0,,,,
,,539910-โรงชำแหละและตัดแต่งสุกรกำแพงเพชร,,127,"13,682.00",,0,0,,0,0,,0,0,,0,0,,,,
2242440012-สุกรขุน Endproduct (Omega),539910-โรงชำแหละและตัดแต่งสุกรกำแพงเพชร,ลานพักหมูเป็น-บริษัท (0300),,127,"13,682.00",,0,0,,0,0,,0,0,,0,0,2242440012,2242440012,539910,300
,,รหัสสินค้า:23000127-เนื้อไหล่ติดหนัง,,10,139.7,,27,175.04,,0,0,,0,0,,0,0,,,,
,,539010-โรงชำแหละสุกร นายายอาม,,2,47.85,,0,0,,0,0,,0,0,,0,0,,,,
23000127-เนื้อไหล่ติดหนัง,539010-โรงชำแหละสุกร นายายอาม,คลังสินค้า-FG (0010),,2,47.85,,0,0,,0,0,,0,0,,0,0,23000127,23000127,539010,10
,,539910-โรงชำแหละและตัดแต่งสุกรกำแพงเพชร,,3,20.75,,27,175.04,,0,0,,0,0,,0,0,,,,
23000127-เนื้อไหล่ติดหนัง,539910-โรงชำแหละและตัดแต่งสุกรกำแพงเพชร,คลังสินค้า-FG (0010),,3,20.75,,27,175.04,,0,0,,0,0,,0,0,23000127,23000127,539910,10
,,643510-โรงชำแหละสุกรแพร่,,2,43.82,,0,0,,0,0,,0,0,,0,0,,,,
23000127-เนื้อไหล่ติดหนัง,643510-โรงชำแหละสุกรแพร่,คลังสินค้า Chill,,2,43.82,,0,0,,0,0,,0,0,,0,0,23000127,23000127,643510,900
,,723610-โรงชำแหละสุกร แม่สอด,,3,27.28,,0,0,,0,0,,0,0,,0,0,,,,
23000127-เนื้อไหล่ติดหนัง,723610-โรงชำแหละสุกร แม่สอด,คลังสินค้า Chill,,3,27.28,,0,0,,0,0,,0,0,,0,0,23000127,23000127,723610,900
,,รหัสสินค้า:23000130-สะโพกติดหนัง,,52,811.82,,50,544.76,,0,0,,0,0,,0,0,,,,
,,262010-HUB สุกรตัดแต่ง-สุรินทร์,,4,72.45,,0,0,,0,0,,0,0,,0,0,,,,
23000130-สะโพกติดหนัง,262010-HUB สุกรตัดแต่ง-สุรินทร์,STOCK FG,,4,72.45,,0,0,,0,0,,0,0,,0,0,23000130,23000130,262010,900
,,410810-โรงชำแหละสุกร อ่างทอง,,17,185.18,,0,0,,0,0,,0,0,,0,0,,,,
23000130-สะโพกติดหนัง,410810-โรงชำแหละสุกร อ่างทอง,คลังผลได้เชือด-บริษัท,,17,185.18,,0,0,,0,0,,0,0,,0,0,23000130,23000130,410810,900
,,412410-ศูนย์ตัดแต่งและแปรรูปสุกรห้วยส้ม(เชียงใหม่),,0,0,,7,80.89,,0,0,,0,0,,0,0,,,,
23000130-สะโพกติดหนัง,412410-ศูนย์ตัดแต่งและแปรรูปสุกรห้วยส้ม(เชียงใหม่),คลังสินค้า-FG,,0,0,,7,80.89,,0,0,,0,0,,0,0,23000130,23000130,412410,900
,,412810-โรงชำแหละสุกร กาญจนบุรี,,4,71.91,,7,65.28,,0,0,,0,0,,0,0,,,,
23000130-สะโพกติดหนัง,412810-โรงชำแหละสุกร กาญจนบุรี,คลังสินค้า-FG (0010),,4,71.91,,7,65.28,,0,0,,0,0,,0,0,23000130,23000130,412810,10
