"","Product_code","PriceperKg","d1","week_num"
"354","23000175",82,2022-03-01,"09"
"355","23000175",84,2022-03-09,"10"
"356","23000175",85,2022-03-16,"11"
"357","23000175",84,2022-03-17,"11"
"358","23000175",85,2022-03-23,"12"
"359","23000175",91,2022-03-31,"13"
"360","23000175",92,2022-04-01,"13"
"361","23000175",98,2022-04-07,"14"
"362","23000175",102,2022-04-11,"15"
"363","23000175",107,2022-04-21,"16"
"364","23000181",54,2022-01-06,"01"
"365","23000181",55,2022-01-07,"01"
"366","23000181",59,2022-01-13,"02"
"367","23000181",52,2022-02-10,"06"
"368","23000181",48,2022-02-17,"07"
"369","23000181",48,2022-03-01,"09"
"370","23000181",50,2022-03-02,"09"
"371","23000181",53,2022-03-09,"10"
"372","23000181",55,2022-03-16,"11"
"373","23000181",54,2022-03-17,"11"
"374","23000181",56,2022-03-23,"12"
"375","23000181",62,2022-03-31,"13"
"376","23000181",66,2022-04-07,"14"
"377","23000181",70,2022-04-21,"16"
"378","23000181",72,2022-04-28,"17"
"379","23000181",74,2022-05-05,"18"
"380","23000186",145,2022-01-06,"01"
"381","23000186",146,2022-01-07,"01"
"382","23000186",150,2022-01-13,"02"
"383","23000186",147,2022-02-10,"06"
"384","23000186",144,2022-02-17,"07"
"385","23000186",141,2022-02-22,"08"
"386","23000186",141,2022-03-01,"09"
"387","23000186",144,2022-03-02,"09"
"388","23000186",147,2022-03-09,"10"
"389","23000186",150,2022-03-16,"11"
"390","23000186",149,2022-03-17,"11"
"391","23000186",151,2022-03-23,"12"
"392","23000186",156,2022-03-31,"13"
"393","23000186",160,2022-04-07,"14"
"394","23000186",167,2022-04-21,"16"
"395","23000186",174,2022-04-28,"17"
"396","23000187",24,2022-01-06,"01"
"397","23000187",25,2022-01-07,"01"
"398","23000187",18,2022-01-10,"02"
"399","23000187",12,2022-02-10,"06"
"400","23000187",11,2022-02-17,"07"
"401","23000187",11,2022-03-01,"09"
"402","23000187",13,2022-03-02,"09"
"403","23000187",15,2022-03-09,"10"
"404","23000187",17,2022-03-16,"11"
"405","23000187",16,2022-03-17,"11"
"406","23000187",18,2022-03-31,"13"
