,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำพู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
สะโพกTT,,เนื้อสะโพก,129,130,140,133,138,129,170,,เนื้อสะโพก,127,127,126,138,138,129,170
ไหล่TT,,เนื้อไหล่,119,125,135,129,,128,130,,เนื้อไหล่,116,115,115,138,138,129,170
สันนอกTT,,สันนอก,131,135,150,159,165,147,170,,สันนอก,126,127,127,193,165,147,170
สันในTT,,สันใน,131,135,145,178,,190,170,,สันใน,127,126,125,198,,169,180
สันคอTT,,สันคอ,192,190,200,232,235,210,180,,สันคอ,189,188,189,232,235,219,190
สามชั้นTT,,สามชั้น,152,160,170,193,,164,180,,สามชั้น,151,145,150,222,199,187,170
ซี่โครงแผ่นTT,,ซี่โครง,117,130,145,166,166,155,160,,ซี่โครง,116,116,115,188,166,159,140
ไหล่บด,,หมูบด,103,,105,129,159,129,160,,หมูบด,101,100,100,170,163,140,130
ขาหลังเผาแบ่งคากิ,,ขาหมู,70,,,100,90,90,90,,ขาหมู,65,65,67,,,89,85
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดร่วมใจ1
สะโพกTT,,เนื้อสะโพก,123,128,,133,145,129,150,,เนื้อสะโพก,125,120,136,133,138,129,150
ไหล่TT,,เนื้อไหล่,118,123,,127,145,128,150,,เนื้อไหล่,120,115,132,,,128,150
สันนอกTT,,สันนอก,123,135,,160,183,182,170,,สันนอก,123,120,146,193,195,139,160
สันในTT,,สันใน,142,137,,259,0,140,170,,สันใน,140,130,138,259,199,180,170
สันคอTT,,สันคอ,195,165,,219,213,207,200,,สันคอ,210,200,196,229,209,219,180
สามชั้นTT,,สามชั้น,158,165,,211,215,164,200,,สามชั้น,135,130,166,211,219,189,180
ซี่โครงแผ่นTT,,ซี่โครง,128,125,,0,171,157,160,,ซี่โครง,120,120,139,166,166,155,130
ไหล่บด,,หมูบด,111,140,,160,170,160,160,,หมูบด,120,120,143,133,138,129,140
ขาหลังเผาแบ่งคากิ,,ขาหมู,73,68,,100,100,93,100,,ขาหมู,70,75,75,90,90,92,95
,,,,,,,,,,,,,,,,,,
