,,สภาวะราคาของชิ้นส่วนหลัก Wk23 (9 - 15.6.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
สันนอกTT,,สันนอก,176,173,186,196,199,179,220,,สันนอก,175,177,175,213,213,185,210
สันในTT,,สันใน,176,175,181,,,226,220,,สันใน,177,172,175,265,192,218,225
สันคอTT,,สันคอ,221,225,236,295,285,245,220,,สันคอ,214,232,217,270,275,237,230
สามชั้นTT,,สามชั้น,189,183,204,235,,199,220,,สามชั้น,187,192,180,255,225,231,225
ซี่โครงแผ่นTT,,ซี่โครง,171,160,174,198,195,179,210,,ซี่โครง,170,162,170,187,214,189,175
คอหมูย่างTT,,คอหมูย่าง,252,310,232,,,215,220,,คอหมูย่าง,247,252,242,365,270,304,275
ไหล่บด,,หมูบด,172,160,154,190,189,180,200,,หมูบด,164,163,162,195,195,186,200
ขาหลังเผาแบ่งคากิ,,ขาหมู,108,,,,109,,90,,ขาหมู,,,,,,,90
หัวติดลิ้น,,หัวติดลิ้น,71,,67,,,,70,,หัวติดลิ้น,71,65,68,,,,60
เครื่องในชุด(หมู),,เครื่องในชุด,80,,,,,66,120,,เครื่องในชุด,82,,,,,,
,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,
ขาหน้าTT,,ขาหน้า,91,,88,,,99,90,,ขาหน้า,91,86,86,,,,90
ขาหน้าเผาTT,,ขาหน้าเผา,94,70,98,106,,,95,,ขาหน้าเผา,,,,,,103,
ขาหลังTT,,ขาหลัง,102,85,98,,,,95,,ขาหลัง,100,97,96,,,,95
ขาหลังเผาTT,,ขาหลังเผา,105,,104,,,104,100,,ขาหลังเผา,,,,,,111,
มันสันหลังTT,,มันสันหลัง,86,80,,,,,80,,มันสันหลัง,,,,,,,
มันแข็งTT,,มันแข็ง,85,75,90,,,85,80,,มันแข็ง,85,80,80,99,,87,
เศษมันTT,,เศษมัน         ,70,,83,,,,,,เศษมัน         ,,,,,,,
หนังสันหลังTT,,หนังสันหลัง,77,78,80,,,,,,หนังสันหลัง,,,,,,,
หนังสะโพก,,หนังสะโพก,,77,70,,,,,,หนังสะโพก,,,,,,,
หนังหมูรวมTT,,หนังหมูรวม,74,,80,,,71,70,,หนังหมูรวม,,,,,,,
กระดูกซุปTT,,กระดูกซุป,63,60,75,,76,66,70,,กระดูกซุป,64,72,60,51,,69,80
กระดูกอ่อนTT,,กระดูกอ่อน,176,165,167,,,163,180,,กระดูกอ่อน,,172,170,,,,
กระดูกข้อTT,,กระดูกข้อ(คาตั๊ง) ,22,20,17,,,,15,,กระดูกข้อ(คาตั๊ง) ,21,,20,49,,29,
มันเปลวTT,,มันเปลว,58,,62,,,,30,,มันเปลว,57,57,50,,,,
มันท้องTT,,มันท้อง,65,,,,,,30,,มันท้อง,63,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
